date,diesel_dollars_per_gallon
2018-01-01,2.9730
2018-01-08,2.9960
2018-01-15,3.0280
2018-01-22,3.0250
2018-01-29,3.0700
2018-02-05,3.0860
2018-02-12,3.0630
2018-02-19,3.0270
2018-02-26,3.0070
2018-03-05,2.9920
2018-03-12,2.9760
2018-03-19,2.9720
2018-03-26,3.0100
2018-04-02,3.0420
2018-04-09,3.0430
2018-04-16,3.1040
2018-04-23,3.1330
2018-04-30,3.1570
2018-05-07,3.1710
2018-05-14,3.2390
2018-05-21,3.2770
2018-05-28,3.2880
2018-06-04,3.2850
2018-06-11,3.2660
2018-06-18,3.2440
2018-06-25,3.2160
2018-07-02,3.2360
2018-07-09,3.2430
2018-07-16,3.2390
2018-07-23,3.2200
2018-07-30,3.2260
2018-08-06,3.2230
2018-08-13,3.2170
2018-08-20,3.2070
2018-08-27,3.2260
2018-09-03,3.2520
2018-09-10,3.2580
2018-09-17,3.2680
2018-09-24,3.2710
2018-10-01,3.3130
2018-10-08,3.3850
2018-10-15,3.3940
2018-10-22,3.3800
2018-10-29,3.3550
2018-11-05,3.3380
2018-11-12,3.3170
2018-11-19,3.2820
2018-11-26,3.2610
2018-12-03,3.2070
2018-12-10,3.1610
2018-12-17,3.1210
2018-12-24,3.0770
2018-12-31,3.0480
2019-01-07,3.0130
2019-01-14,2.9760
2019-01-21,2.9650
2019-01-28,2.9650
2019-02-04,2.9660
2019-02-11,2.9660
2019-02-18,3.0060
2019-02-25,3.0480
2019-03-04,3.0760
2019-03-11,3.0790
2019-03-18,3.0700
2019-03-25,3.0800
2019-04-01,3.0780
2019-04-08,3.0930
2019-04-15,3.1180
2019-04-22,3.1470
2019-04-29,3.1690
2019-05-06,3.1710
2019-05-13,3.1600
2019-05-20,3.1630
2019-05-27,3.1510
2019-06-03,3.1360
2019-06-10,3.1050
2019-06-17,3.0700
2019-06-24,3.0430
2019-07-01,3.0420
2019-07-08,3.0550
2019-07-15,3.0510
2019-07-22,3.0440
2019-07-29,3.0340
2019-08-05,3.0320
2019-08-12,3.0110
2019-08-19,2.9940
2019-08-26,2.9830
2019-09-02,2.9760
2019-09-09,2.9710
2019-09-16,2.9870
2019-09-23,3.0810
2019-09-30,3.0660
2019-10-07,3.0470
2019-10-14,3.0510
2019-10-21,3.0500
2019-10-28,3.0640
2019-11-04,3.0620
2019-11-11,3.0730
2019-11-18,3.0740
2019-11-25,3.0660
2019-12-02,3.0700
2019-12-09,3.0490
2019-12-16,3.0460
2019-12-23,3.0410
2019-12-30,3.0690
2020-01-06,3.0790
2020-01-13,3.0640
2020-01-20,3.0370
2020-01-27,3.0100
2020-02-03,2.9560
2020-02-10,2.9100
2020-02-17,2.8900
2020-02-24,2.8820
2020-03-02,2.8510
2020-03-09,2.8140
2020-03-16,2.7330
2020-03-23,2.6590
2020-03-30,2.5860
2020-04-06,2.5480
2020-04-13,2.5070
2020-04-20,2.4800
2020-04-27,2.4370
2020-05-04,2.3990
2020-05-11,2.3940
2020-05-18,2.3860
2020-05-25,2.3900
2020-06-01,2.3860
2020-06-08,2.3960
2020-06-15,2.4030
2020-06-22,2.4250
2020-06-29,2.4300
2020-07-06,2.4370
2020-07-13,2.4380
2020-07-20,2.4330
2020-07-27,2.4270
2020-08-03,2.4240
2020-08-10,2.4280
2020-08-17,2.4270
2020-08-24,2.4260
2020-08-31,2.4410
2020-09-07,2.4350
2020-09-14,2.4220
2020-09-21,2.4040
2020-09-28,2.3940
2020-10-05,2.3870
2020-10-12,2.3950
2020-10-19,2.3880
2020-10-26,2.3850
2020-11-02,2.3720
2020-11-09,2.3830
2020-11-16,2.4410
2020-11-23,2.4620
2020-11-30,2.5020
2020-12-07,2.5260
2020-12-14,2.5590
2020-12-21,2.6190
2020-12-28,2.6350
